HydroType,LC,ID,GroupType
0,11,GHCN_ACW00011647,train
0,12,GHCN_AG000060390,train
0,16,GHCN_AG000060590,train
0,13,GHCN_AG000060680,train
0,12,GHCN_AGE00135039,train
0,10,GHCN_AJ000037575,train
0,9,GHCN_AJ000037579,train
0,10,GHCN_AJ000037605,train
0,10,GHCN_AJ000037636,train
0,12,GHCN_AJ000037639,train
0,10,GHCN_AJ000037656,train
0,13,GHCN_AJ000037661,train
0,4,GHCN_AJ000037668,train
0,9,GHCN_AJ000037673,train
0,10,GHCN_AJ000037674,train
0,17,GHCN_AJ000037679,train
0,12,GHCN_AJ000037729,train
0,10,GHCN_AJ000037734,train
0,12,GHCN_AJ000037735,train
0,9,GHCN_AJ000037740,train
0,12,GHCN_AJ000037742,train
0,13,GHCN_AJ000037744,train
0,13,GHCN_AJ000037747,train
0,13,GHCN_AJ000037749,train
0,10,GHCN_AJ000037753,train
0,13,GHCN_AJ000037759,train
0,13,GHCN_AJ000037769,train
0,10,GHCN_AJ000037813,train
0,10,GHCN_AJ000037816,train
0,4,GHCN_AJ000037825,train
0,12,GHCN_AJ000037831,train
0,13,GHCN_AJ000037832,train
0,10,GHCN_AJ000037835,train
0,9,GHCN_AJ000037844,train
0,10,GHCN_AJ000037849,train
0,13,GHCN_AJ000037850,train
0,13,GHCN_AJ000037860,train
0,17,GHCN_AJ000037861,train
0,10,GHCN_AJ000037866,train
0,17,GHCN_AJ000037869,train
0,10,GHCN_AJ000037883,train
0,12,GHCN_AJ000037888,train
0,12,GHCN_AJ000037893,train
0,10,GHCN_AJ000037895,train
0,10,GHCN_AJ000037898,train
0,12,GHCN_AJ000037899,train
0,10,GHCN_AJ000037901,train
0,12,GHCN_AJ000037902,train
0,12,GHCN_AJ000037905,train
0,12,GHCN_AJ000037907,train
0,12,GHCN_AJ000037912,train
0,10,GHCN_AJ000037913,train
0,12,GHCN_AJ000037914,train
0,17,GHCN_AJ000037922,train
0,10,GHCN_AJ000037923,train
0,10,GHCN_AJ000037925,train
0,13,GHCN_AJ000037936,train
0,10,GHCN_AJ000037941,train
0,10,GHCN_AJ000037946,train
0,13,GHCN_AJ000037947,train
0,10,GHCN_AJ000037957,train
0,10,GHCN_AJ000037962,train
0,12,GHCN_AJ000037968,train
0,10,GHCN_AJ000037972,train
0,10,GHCN_AJ000037978,train
0,10,GHCN_AJ000037981,train
0,10,GHCN_AJ000037984,train
0,12,GHCN_AJ000037985,train
0,17,GHCN_AJ000037989,train
0,13,GHCN_ALE00100939,train
0,10,GHCN_ALE00108905,train
0,10,GHCN_AM000037608,train
0,10,GHCN_AM000037609,train
0,13,GHCN_AM000037618,train
0,9,GHCN_AM000037627,train
0,4,GHCN_AM000037629,train
0,13,GHCN_AM000037682,train
0,12,GHCN_AM000037683,train
0,13,GHCN_AM000037686,train
0,12,GHCN_AM000037689,train
0,10,GHCN_AM000037693,train
0,10,GHCN_AM000037694,train
0,13,GHCN_AM000037695,train
0,10,GHCN_AM000037698,train
0,10,GHCN_AM000037700,train
0,9,GHCN_AM000037705,train
0,8,GHCN_AM000037706,train
0,10,GHCN_AM000037708,train
0,10,GHCN_AM000037713,train
0,12,GHCN_AM000037719,train
0,10,GHCN_AM000037772,train
0,10,GHCN_AM000037773,train
0,13,GHCN_AM000037774,train
0,10,GHCN_AM000037781,train
0,10,GHCN_AM000037782,train
0,10,GHCN_AM000037785,train
0,10,GHCN_AM000037786,train
0,13,GHCN_AM000037787,train
0,13,GHCN_AM000037789,train
0,12,GHCN_AM000037791,train
0,13,GHCN_AM000037792,train
0,10,GHCN_AM000037798,train
0,10,GHCN_AM000037808,train
0,12,GHCN_AM000037815,train
0,10,GHCN_AM000037871,train
0,10,GHCN_AM000037872,train
0,10,GHCN_AM000037873,train
0,13,GHCN_AM000037874,train
0,10,GHCN_AM000037875,train
0,10,GHCN_AM000037876,train
0,10,GHCN_AM000037878,train
0,10,GHCN_AM000037880,train
0,10,GHCN_AM000037884,train
0,12,GHCN_AM000037887,train
0,10,GHCN_AM000037954,train
0,10,GHCN_AM000037958,train
0,2,GHCN_AQC00914000,train
0,2,GHCN_AQC00914005,train
0,2,GHCN_AQC00914135,train
0,17,GHCN_AQC00914248,train
0,8,GHCN_AQC00914397,train
0,8,GHCN_AQC00914869,train
0,10,GHCN_AQC00914873,train
0,11,GHCN_AQC00914902,train
0,10,GHCN_AR000000001,train
0,9,GHCN_AR000000002,train
0,10,GHCN_AR000000003,train
0,9,GHCN_AR000000004,train
0,10,GHCN_AR000000005,train
0,13,GHCN_AR000000006,train
0,10,GHCN_AR000000007,train
0,13,GHCN_AR000000008,train
0,10,GHCN_AR000000009,train
0,17,GHCN_AR000000010,train
0,17,GHCN_AR000000012,train
0,9,GHCN_AR000000013,train
0,10,GHCN_AR000000014,train
0,10,GHCN_AR000000015,train
0,10,GHCN_AR000000016,train
0,7,GHCN_ASN00001000,train
0,10,GHCN_ASN00001001,train
0,17,GHCN_ASN00001005,train
0,10,GHCN_ASN00001006,train
0,11,GHCN_ASN00001007,train
0,10,GHCN_ASN00001008,train
0,10,GHCN_ASN00001009,train
0,10,GHCN_ASN00001012,train
0,10,GHCN_ASN00001013,train
0,10,GHCN_ASN00001016,train
0,10,GHCN_ASN00001018,train
0,10,GHCN_ASN00001020,train
0,10,GHCN_ASN00001021,train
0,10,GHCN_ASN00001024,train
0,10,GHCN_ASN00001025,train
0,7,GHCN_ASN00001028,train
0,10,GHCN_ASN00001035,train
0,10,GHCN_ASN00002000,train
0,10,GHCN_ASN00002001,train
0,7,GHCN_ASN00002003,train
0,7,GHCN_ASN00002005,train
0,10,GHCN_ASN00002007,train
0,10,GHCN_ASN00002008,train
0,10,GHCN_ASN00002010,train
0,7,GHCN_ASN00002011,train
0,10,GHCN_ASN00002013,train
0,10,GHCN_ASN00002014,train
0,7,GHCN_ASN00002015,train
0,10,GHCN_ASN00002016,train
0,10,GHCN_ASN00002017,train
0,7,GHCN_ASN00002018,train
0,10,GHCN_ASN00002020,train
0,10,GHCN_ASN00002023,train
0,10,GHCN_ASN00002024,train
